Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|name      |parallax|spect_type |vmag |bv_color|ccdm_id   |survey_star|id_chart|hd_id |spect_type_source|class          |
|HIP 83101 |   52.30|K3/K4V     | 8.33|   1.181|16589-3934|           |        |153026|3                |       STAR K3V|
|HIP 80300 |   78.04|DA         |11.01|  -0.165|          |           |G       |      |S                |WHITE DWARF D A|
|HIP 80337 |   77.69|G3/G5V     | 5.37|   0.625|          |S          |        |147513|3                |       STAR G3V|
|HIP 95326 |   77.71|           |12.39|        |19236-3911|           |        |      |                 |   UNIDENTIFIED|
|HIP 82926 |   68.71|M3Ve+...   |11.18|   1.510|16568-3906|           |G       |      |K                |      STAR M3Ve|
|HIP 25283 |   56.36|K2         | 9.08|   1.248|          |           |        | 35650|3                |        STAR K2|
|HIP 81935 |   69.58|K2V        | 7.52|   1.024|          |           |        |150689|3                |       STAR K2V|
|HIP 42808 |   89.78|K2V        | 6.58|   0.917|          |S          |        | 74576|3                |       STAR K2V|
|HIP 105090|  253.37|M1/M2V     | 6.69|   1.397|          |S          |        |202560|3                |       STAR M1V|
|HIP 84084 |   54.25|           |12.25|        |17114-3825|           |        |      |                 |   UNIDENTIFIED|
|HIP 17439 |   61.63|K1V        | 6.99|   0.870|          |S          |        | 23484|3                |       STAR K1V|
|HIP 52190 |   68.38|           |11.02|   1.529|10397-3755|           |G       |      |                 |   UNIDENTIFIED|
|HIP 77358 |   65.60|G6IV       | 6.01|   0.715|15475-3755|S          |        |140901|3                |      STAR G6IV|
|HIP 93858 |   58.24|G8V        | 6.15|   0.705|          |S          |        |177565|3                |       STAR G8V|
|HIP 80018 |  118.03|M4         |10.56|   1.550|16201-3732|           |G       |      |S                |        STAR M4|
|HIP 439   |  229.33|M2V        | 8.56|   1.462|          |           |        |225213|3                |       STAR M2V|
|HIP 27359 |   66.71|M2         |10.72|   1.476|          |           |G       |      |S                |        STAR M2|
|HIP 93825 |   55.89|F7IV-V     | 4.23|   0.523|19064-3704|S          |        |177474|S                |      STAR F7IV|
|HIP 93449 |  121.75|A5IIevar   |11.57|        |          |           |G       |      |X                |      STAR A5II|
|HIP 52296 |   61.30|M0V        | 9.97|   1.464|10412-3654|           |G       |      |X                |       STAR M0V|
|HIP 10812 |   71.56|           |11.59|   1.510|          |           |D       |      |                 |   UNIDENTIFIED|
|HIP 65109 |   55.64|A2V        | 2.75|   0.068|          |S          |        |115892|3                |       STAR A2V|
|HIP 52341 |   61.18|K7V        |10.19|   1.460|10419-3638|           |G       |      |X                |       STAR K7V|
|HIP 68933 |   53.52|K0IIIb     | 2.06|   1.011|14067-3622|S          |        |123139|3                |     STAR K0III|
|HIP 99461 |  165.24|K2V        | 5.32|   0.868|20112-3605|S          |        |191408|3                |       STAR K2V|
|HIP 88694 |   57.58|G3V        | 5.94|   0.615|          |S          |        |165185|3                |       STAR G3V|
|HIP 114046|  303.90|M2/M3V     | 7.35|   1.483|          |S          |        |217987|3                |       STAR M2V|
|HIP 6005  |   60.61|           |11.31|   1.510|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 22451 |   55.59|K2V        | 7.49|   0.901|          |S          |        | 30876|3                |       STAR K2V|
|HIP 84709 |  143.45|K4V        | 5.91|   1.082|17190-3459|S          |        |156384|3                |       STAR K4V|
|HIP 49969 |   81.23|M0         |10.64|   1.566|          |           |G       |      |S                |        STAR M0|
|HIP 38423 |   55.48|F3/F5V     | 5.01|   0.470|07523-3442|S          |        | 64379|3                |       STAR F3V|
|HIP 66765 |   64.08|K1V        | 6.92|   0.855|          |S          |        |118972|3                |       STAR K1V|
|HIP 37853 |   65.79|G0V        | 5.36|   0.589|          |S          |        | 63077|3                |       STAR G0V|
|HIP 38910 |   54.62|K5V        | 8.83|   1.136|          |           |        |      |X                |       STAR K5V|
|HIP 3261  |   50.29|           |10.58|   1.432|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 67153 |   51.91|F3V        | 4.23|   0.390|          |S          |        |119756|3                |       STAR F3V|
|HIP 56452 |  104.84|K0V        | 5.96|   0.811|          |S          |        |100623|3                |       STAR K0V|
|HIP 116763|   53.52|K1V        | 7.18|   0.802|          |S          |        |222335|3                |       STAR K1V|
|HIP 109422|   53.36|F6V        | 4.94|   0.489|          |S          |        |210302|3                |       STAR F6V|
|HIP 56528 |  110.65|M2V        | 9.81|   1.489|          |           |        |      |X                |       STAR M2V|
|HIP 25421 |   55.76|K2/K3V     | 7.70|   0.946|          |S          |        | 35854|3                |       STAR K2V|
|HIP 102141|   97.80|Mpe        |10.27|   1.550|20451-3122|           |G       |196982|3                |       STAR M0e|
|HIP 67308 |   61.07|K5/M1V+K5  | 8.13|   1.322|13477-3226|           |        |120036|G                |       STAR K1V|
|HIP 46655 |  103.56|K:...      |11.71|   1.588|          |           |G       |      |S                |        STAR K0|
|HIP 114176|  147.95|           |12.28|        |23073-3216|           |        |      |                 |   UNIDENTIFIED|
|HIP 86961 |  161.77|M2V:       |10.49|   1.463|17462-3206|           |G       |      |S                |       STAR M2V|
|HIP 46626 |   51.71|K3/K4V     | 8.31|   0.985|          |           |        | 82342|3                |       STAR K3V|
|HIP 86963 |  161.77|M2V:       |11.39|   1.439|17462-3206|           |        |      |S                |       STAR M2V|
|HIP 82834 |   53.54|K4/K5V     | 9.58|   1.378|          |           |G       |152606|3                |       STAR K4V|
|HIP 10395 |   80.79|           |10.31|   1.479|          |           |        |      |                 |   UNIDENTIFIED|
|HIP 52596 |   72.19|           |11.22|   1.503|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 99150 |   68.49|M          |12.19|   1.560|20078-3145|           |G       |      |S                |        STAR M0|
|HIP 113283|  130.94|K4Vp       | 6.48|   1.094|          |S          |        |216803|3                |       STAR K4V|
|HIP 41926 |   82.15|K0V        | 6.38|   0.780|          |S          |        | 72673|3                |       STAR K0V|
|HIP 1734  |   54.91|M2V:       |11.16|   1.485|          |           |G       |      |S                |       STAR M2V|
|HIP 102409|  100.59|M1Ve       | 8.81|   1.470|20451-3122|           |        |197481|3                |      STAR M1Ve|
|HIP 98130 |   52.11|K3/K4V     | 8.42|   1.025|          |           |        |188474|3                |       STAR K3V|
|HIP 69285 |   58.18|           |10.77|        |          |           |D       |      |                 |   UNIDENTIFIED|
|HIP 28442 |   66.82|K3/K4V     | 7.85|   1.137|06003-3103|           |        | 40887|3                |       STAR K3V|
|HIP 10617 |   70.16|           |12.02|   1.583|02166-3059|           |D       |      |                 |   UNIDENTIFIED|
|HIP 79979 |   56.82|G1/G2      | 7.29|   0.585|16195-3054|S          |        |146835|3                |        STAR G1|
|HIP 100925|   51.50|G6/G8V     | 6.61|   0.724|          |S          |        |194640|3                |       STAR G6V|
|HIP 49091 |   62.33|M4         |11.43|   1.485|          |           |G       |      |S                |        STAR M4|
|HIP 4148  |   71.01|K2V        | 7.15|   0.936|          |S          |        |  5133|3                |       STAR K2V|
|HIP 57507 |   56.26|G5V        | 6.48|   0.681|          |S          |        |102438|3                |       STAR G5V|
|HIP 51317 |  138.29|M2         | 9.65|   1.507|          |           |        |      |S                |        STAR M2|
|HIP 36349 |   64.24|M1V:e...   | 9.96|   1.442|07289-3015|           |G       |      |S                |      STAR M1Ve|
|HIP 99438 |   65.06|           |12.18|   0.070|          |           |D       |      |                 |   UNIDENTIFIED|
|HIP 9786  |  105.64|K:...      |12.15|   1.719|          |           |G       |      |S                |        STAR K0|
|HIP 110996|   64.74|K4V        | 7.65|   1.080|          |S          |        |213042|3                |       STAR K4V|
|HIP 111960|   73.85|K4/K5V     | 7.83|   1.143|          |S          |        |214749|3                |       STAR K4V|
|HIP 113368|  130.08|A3V        | 1.17|   0.145|          |S          |        |216956|3                |       STAR A3V|
|HIP 67960 |   59.57|K5/M0V     | 9.53|   1.414|13550-2905|           |        |121271|3                |       STAR K5V|
|HIP 20968 |  120.70|           |11.42|   0.646|04297-2902|           |        |      |                 |   UNIDENTIFIED|
|HIP 14879 |   70.86|F8V        | 3.80|   0.543|03121-2859|S          |        | 20010|3                |       STAR F8V|
|HIP 112978|   51.42|M:         |11.82|   1.533|          |           |G       |      |S                |        STAR M0|
